"Celda","Auto Competencia","Misma Actividad","Compatibles","Incompatibles"
14166,0,0,0,0
14167,0,0,0,0.25
14667,0,0,0.125,0.25
17149,0,0,0.5,0
17649,0,0,0,0
17650,0,0,0,0
18148,0,0,0,0
18149,0,0,0.173913043478261,0.434782608695652
18150,0,0,0,0.555555555555556
18170,0,0,0,0
18648,0,0,0,0
18649,0,0,0.0714285714285714,0.357142857142857
18650,0,0,0.2,0.2
19149,0,0,0,0
19151,0,0,0,0
19169,0,0,0,0
21164,0,0,0,0
21663,0,0,0,0.333333333333333
21664,0,0,0,0
21665,0,0,0,0
22163,0,0,0,0
22164,0,0,0.0714285714285714,0.142857142857143
22663,0,0,0,0.285714285714286
22664,0,0,0.0888888888888889,0.422222222222222
22665,0,0,0.2,0
23163,0,0,0,1
23164,0,0,0,0.238095238095238
23663,0,0,0,0.5
23664,0,0,0,0.333333333333333
23665,0,0,0,0
24165,0,0,0,0
24169,0,0,0,0
26201,0,0,0,0
27660,0,0,0,0
27687,0,0,0,0.266666666666667
27688,0,0,0,0
28186,0,0,0.5,0
28187,0,0,0.0303030303030303,0.242424242424242
28188,0,0,0,0
28189,0,0,0,0
28687,0,0,0.105263157894737,0.157894736842105
28688,0,0,0,0.285714285714286
28689,0,0,0.142857142857143,0.285714285714286
28690,0,0,0,0
29186,0,0,0,1
29187,0,0,0.037037037037037,0.37037037037037
29188,0,0,0.0769230769230769,0.230769230769231
29189,0,0,0.166666666666667,0.333333333333333
29191,0,0,0,0
29669,0,0,0,0
29686,0,0,0.333333333333333,0
29687,0,0,0.0793650793650794,0.253968253968254
29688,0,0,0.0196078431372549,0.411764705882353
29689,0,0,0.0666666666666667,0.2
29690,0,0,0.2,0.2
29694,0,0,0,0
30187,0,0,0.0769230769230769,0.230769230769231
30188,0,0,0,0.166666666666667
30189,0,0,0,0.166666666666667
30669,0,0,0,0
30686,0,0,0,0.666666666666667
30687,0,0,0,0.4
30688,0,0,0,0.1
30689,0,0,0,0
30690,0,0,0,0
30699,0,0,0,0
31669,0,0,0,0
31686,0,0,0,1
31703,0,0,0.5,0
32199,0,0,0,0
32202,0,0,0,0
32204,0,0,0,0
32205,0,0,0,0
32686,0,0,1,0
33186,0,0,0,0
33199,0,0,0,0
33699,0,0,0,0
35699,0,0,0,0
36654,0,0,0,0
36657,0,0,0,0
36658,0,0,0.5,0
36659,0,0,0,0
36697,0,0,0,0
37154,0,0,0,0
37155,0,0,0,0
37655,0,0,0,0
37691,0,0,1,0
38150,0,0,0,0
38154,0,0,0,0
38685,0,0,0,0.25
38688,0,0,0,0
38689,0,0,0,0
38690,0,0,1,0
38692,0,0,0,0
39150,0,0,0,0
39152,0,0,0,0
39153,0,0,0,0
39186,0,0,0,0.2
39187,0,0,0,0
39188,0,0,0,0
39189,0,0,0,0
39687,0,0,0,0
39688,0,0,1,0
39691,0,0,0,1
40185,0,0,0,0
40186,0,0,0,0.318181818181818
40187,0,0,0.0416666666666667,0.375
40188,0,0,0,0
40685,0,0,0,1
40686,0,0,0,0.285714285714286
40687,0,0,0.25,0
40688,0,0,0,0
41186,0,0,0,0
41187,0,0,0,0
41686,0,0,1,0
41687,0,0,1,0
41688,0,0,0,0
42186,0,0,0,0
42188,0,0,0,0
42189,0,0,0,0
43654,0,0,0,0
43656,0,0,0,0
43689,0,0,0,1
44154,0,0,0.2,0
44156,0,0,0,0
44653,0,0,0.142857142857143,0.142857142857143
44654,0,0,0.0588235294117647,0.294117647058824
44655,0,0,0.03125,0.53125
44656,0,0,0,0.25
44657,0,0,0,0.5
45153,0,0,0.0625,0.3125
45154,0,0,0.0789473684210526,0.368421052631579
45155,0,0,0.0909090909090909,0.0909090909090909
45156,0,0,0,0.5
45246,0,0,0,0.333333333333333
45652,0,0,1,0
45653,0,0,0.25,0.375
45654,0,0,0.133333333333333,0
45655,0,0,0.0769230769230769,0.0769230769230769
45656,0,0,0,0
45745,0,0,0,0
45746,0,0,0,0.333333333333333
46153,0,0,0,0.5
46154,0,0,0,0.333333333333333
46245,0,0,0,0
46246,0,0,0.142857142857143,0.285714285714286
46652,0,0,0,0
46745,0,0,0,0
46746,0,0,0,0.2
46747,0,0,0,0
47245,0,0,0,0
47246,0,0,0,0.5
47690,0,0,0,0
47745,0,0,0,0
49187,0,0,0,0
49188,0,0,0,0.333333333333333
49788,0,0,0,0
50769,0,0,0,0.125
51202,0,0,0,0
51266,0,0,1,0
51267,0,0,0,0.5
51268,0,0,0,0.333333333333333
51269,0,0,0.125,0
51703,0,0,0,0
51751,0,0,0,1
51768,0,0,0,0
51776,0,0,0,1
51777,0,0,0,0.333333333333333
52245,0,0,0,1
52247,0,0,0,0
52248,0,0,0,0
52250,0,0,0,0
52748,0,0,0,0
52750,0,0,0,1
52777,0,0,0,0
52779,0,0,0,0
53196,0,0,0,0
53197,0,0,0,0
53198,0,0,0,1
53204,0,0,0,0
53247,0,0,0,0
53662,0,0,0.5,0
53695,0,0,0,0
53696,0,0,0,0.295454545454545
53697,0,0,0,0.5
53703,0,0,1,0
53746,0,0,1,0
53747,0,0,0,0
53749,0,0,0,0
53750,0,0,0,1
54166,0,0,0,0
54196,0,0,0,0.5
54197,0,0,0.111111111111111,0.333333333333333
54198,0,0,0,0
54214,0,0,0,0
54247,0,0,0,0
54249,0,0,0,0
54667,0,0,0,0
54668,0,0,0,0
54696,0,0,0,0
54697,0,0,0.166666666666667,0
55164,0,0,0,1
55196,0,0,0,0.2
55197,0,0,0,0
55241,0,0,0,0
55696,0,0,1,0
55740,0,0,0,0
55741,0,0,0.157894736842105,0.315789473684211
55742,0,0,0,0
55743,0,0,0,0
55745,0,0,0,1
55746,0,0,0,0
56168,0,0,0,0
56239,0,0,0.333333333333333,0
56240,0,0,0,0
56241,0,0,0,0.5
56242,0,0,0.0377358490566038,0.320754716981132
56243,0,0,0,0.25
56739,0,0,0,0
56741,0,0,0,0
56742,0,0,0,0
56744,0,0,0,0
57241,0,0,0,0
57242,0,0,0,0
57243,0,0,1,0
57245,0,0,0,0
57746,0,0,0,0
58694,0,0,0,0
58695,0,0,0,0
59165,0,0,0,0
59195,0,0,0,0
59669,0,0,0,0
59693,0,0,0,0
59694,0,0,0,0
59695,0,0,0,0
60192,0,0,0,0
60193,0,0,0,0
60194,0,0,0,0
60195,0,0,0,0.142857142857143
60693,0,0,0,0.5
60694,0,0,0.0540540540540541,0.297297297297297
60695,0,0,0.1,0.4
60696,0,0,0,0.5
60709,0,0,1,0
60772,0,0,0,0
61172,0,0,0,0.666666666666667
61173,0,0,0,0
61194,0,0,0,0.25
61195,0,0,0,0.25
61271,0,0,0,1
61272,0,0,0,0
61669,0,0,0,0.666666666666667
61671,0,0,0,0
61672,0,0,0,0
61673,0,0,0.0882352941176471,0.294117647058824
61701,0,0,0,0
61771,0,0,0,0
62172,0,0,0,0.666666666666667
62173,0,0,0,0.0666666666666667
62200,0,0,0,0
62208,0,0,0,0
62210,0,0,0.125,0.125
62211,0,0,0,0
62212,0,0,0,0.5
62669,0,0,0,0
62671,0,0,0,1
62672,0,0,0,0
62673,0,0,0,1
62708,0,0,0,0
62709,0,0,0.0833333333333333,0.166666666666667
62710,0,0,0,0.5
62711,0,0,0,0
62712,0,0,0,0
62713,0,0,0,0
63169,0,0,0,0
63170,0,0,0,0.5
63171,0,0,0,0.666666666666667
63209,0,0,0,0
63212,0,0,0,1
63670,0,0,0,0
63671,0,0,0,0
64760,0,0,0,0
65196,0,0,0,0
65260,0,0,0,0.25
65261,0,0,0,0.5
65716,0,0,0,0
65760,0,0,0.166666666666667,0
66215,0,0,0,1
66227,0,0,0,0
66260,0,0,0,0
66735,0,0,0,0
66736,0,0,0.142857142857143,0.0714285714285714
66737,0,0,0.4,0.2
66757,0,0,0,0
67236,0,0,0.25,0.25
67237,0,0,0,0.181818181818182
67734,0,0,0,0
67737,0,0,0.5,0.5
67757,0,0,0,0.428571428571429
67758,0,0,0.5,0
68237,0,0,0,0
68257,0,0,0,0.352941176470588
68275,0,0,0,0
68738,0,0,0,0
68756,0,0,0,0
68757,0,0,0,0.333333333333333
68758,0,0,0,0.333333333333333
68774,0,0,0,0
68776,0,0,0,0
69257,0,0,0,0
69278,0,0,0,0
69280,0,0,0,1
69296,0,0,0,0
69751,0,0,0,0
69775,0,0,0,0
69776,0,0,0,0
69778,0,0,0,0.5
69779,0,0,0,0
70256,0,0,0,0
70257,0,0,0,0
70276,0,0,0,0.111111111111111
70277,0,0,0.0833333333333333,0.0833333333333333
70278,0,0,0,0
70279,0,0,0,0
70297,0,0,0,0.5
70776,0,0,0,0.777777777777778
70777,0,0,0.0328947368421053,0.375
70778,0,0,0.0612244897959184,0.26530612244898
70779,0,0,0,0.6
71277,0,0,0.0485436893203883,0.29126213592233
71278,0,0,0.0659340659340659,0.230769230769231
71279,0,0,0,0.333333333333333
71280,0,0,0.25,0.25
71664,0,0,0,0
71777,0,0,0.166666666666667,0.0833333333333333
71778,0,0,0,0.214285714285714
71779,0,0,0.333333333333333,0.111111111111111
71780,0,0,0,0
71781,0,0,0,0.5
72276,0,0,0,0
72277,0,0,0.0909090909090909,0.0909090909090909
72278,0,0,0,0.333333333333333
72279,0,0,0.0357142857142857,0.392857142857143
72280,0,0,0,0
72323,0,0,0,0
72775,0,0,0,1
72776,0,0,0,0.5
72777,0,0,0,0
72778,0,0,0.333333333333333,0
72779,0,0,0,0.363636363636364
72780,0,0,0,0.222222222222222
72781,0,0,0,0.333333333333333
72782,0,0,0,1
73178,0,0,1,0
73180,0,0,0,1
73272,0,0,0,0.333333333333333
73274,0,0,0.19047619047619,0.380952380952381
73275,0,0,0.166666666666667,0.166666666666667
73276,0,0,0,0.166666666666667
73277,0,0,0,0
73279,0,0,0.333333333333333,0.333333333333333
73280,0,0,0,0.2
73281,0,0,0,0.5
73282,0,0,0.1,0.3
73283,0,0,0,0
73678,0,0,0.0666666666666667,0.133333333333333
73679,0,0,0,0
73680,0,0,0,0.6
73681,0,0,0.5,0
73727,0,0,0,0
73772,0,0,0,0.333333333333333
73773,0,0,0,0.166666666666667
73774,0,0,0.0384615384615385,0.451923076923077
73775,0,0,0,0.411764705882353
73776,0,0,0.222222222222222,0.111111111111111
73778,0,0,0,0.666666666666667
73779,0,0,0,0
73780,0,0,0,0.142857142857143
73781,0,0,0.12,0.08
73782,0,0,0,0
74164,0,0,0,0
74179,0,0,0,0
74180,0,0,0,0
74182,0,0,0,0
74228,0,0,0,1
74229,0,0,0.2,0.2
74272,0,0,0,0.285714285714286
74273,0,0,0,0
74274,0,0,0.0666666666666667,0.266666666666667
74275,0,0,0.0833333333333333,0.25
74278,0,0,0,0
74280,0,0,0,0
74281,0,0,0.0666666666666667,0.333333333333333
74282,0,0,0.03125,0.5
74283,0,0,0,0
74321,0,0,0,0
74323,0,0,0,1
74728,0,0,0,0
74729,0,0,0,0.3
74730,0,0,0,0
74731,0,0,0,0
74757,0,0,0.142857142857143,0
74772,0,0,0,0.75
74773,0,0,0,0.4
74774,0,0,0,0
74777,0,0,0,0
74781,0,0,0,0.5
74782,0,0,0,0
74783,0,0,0,0
74818,0,0,0,0
75162,0,0,0,1
75163,0,0,0,0.25
75229,0,0,0.1,0.1
75230,0,0,0,0
75231,0,0,0,0.5
75257,0,0,0,1
75263,0,0,0,0
75264,0,0,0.5,0
75273,0,0,0,0
75274,0,0,0,0
75286,0,0,0,0
75288,0,0,0,0
75289,0,0,0,0
75662,0,0,0,0
75663,0,0,0,0.5
75759,0,0,0,0
75783,0,0,0.2,0.4
75785,0,0,0,0
75786,0,0,0.0666666666666667,0.133333333333333
75787,0,0,0,0
